indicator_id,CONTINUATION,TRADABLE_PULLBACK,STRUCTURAL_BREAK,REENTRY,ACTION_INTENSITY,BUSINESS_VETO,REGIME_CONTEXT
R_PARTICIPATION_BREADTH,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED
R_TREND_RELATIVE_STRENGTH,TEST_CANDIDATE,TEST_CANDIDATE,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED
R_DOWNSIDE_RISK,EXCLUDED,EXCLUDED,TEST_CANDIDATE,CONTEXT_ONLY,PASSED_CAP_ONLY,EXCLUDED,EXCLUDED
R_TREND_QUALITY_R2,TEST_CANDIDATE,TEST_CANDIDATE,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED
R_SECTOR_ALIGNMENT,TEST_CANDIDATE,TEST_CANDIDATE,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,CONTEXT_ONLY
R_RETURN_CONCENTRATION,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED
R_INTRADAY_SHARE,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED
R_OVERNIGHT_SHARE,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED
R_CAPITAL_GAIN_OVERHANG_PROXY,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED
R_MARKET_VOLATILITY,CONTEXT_ONLY,CONTEXT_ONLY,CONTEXT_ONLY,CONTEXT_ONLY,CONTEXT_ONLY,EXCLUDED,TEST_CANDIDATE
R_MARKET_DRAWDOWN_REBOUND,CONTEXT_ONLY,CONTEXT_ONLY,CONTEXT_ONLY,CONTEXT_ONLY,CONTEXT_ONLY,EXCLUDED,TEST_CANDIDATE
R_BUSINESS_DETERIORATION,TEST_CANDIDATE,EXCLUDED,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,TEST_CANDIDATE,EXCLUDED
R_PRICE_BUSINESS_DIVERGENCE,TEST_CANDIDATE,TEST_CANDIDATE,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,TEST_CANDIDATE,EXCLUDED
R_WEEKLY_RSI_EXTREME_ENTRY,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED
R_WEEKLY_RSI_COOLING_EXIT,TEST_CANDIDATE,TEST_CANDIDATE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED
