cik,acceptance_records,fact_rows,missing_acceptances,status
0000002969,2991,30073,0,PIT_READY
0000012927,3013,30265,0,PIT_READY
0000018230,3011,34229,0,PIT_READY
0000019617,149744,45235,0,PIT_READY
0000021344,3011,30634,0,PIT_READY
0000040545,3006,36470,0,PIT_READY
0000059478,3001,20568,0,PIT_READY
0000063908,3001,20775,0,PIT_READY
0000070858,41734,39862,0,PIT_READY
0000077476,3000,29384,0,PIT_READY
0000080424,5005,22891,0,PIT_READY
0000087347,2617,21961,0,PIT_READY
0000089800,2993,26329,0,PIT_READY
0000092122,3008,24059,0,PIT_READY
0000093410,2834,27638,0,PIT_READY
0000100885,3004,20869,0,PIT_READY
0000104169,4383,21908,0,PIT_READY
0000200406,3001,24250,0,PIT_READY
0000310158,3000,25878,0,PIT_READY
0000320187,3000,18059,0,PIT_READY
0000320193,2236,21565,0,PIT_READY
0000354950,3002,18592,0,PIT_READY
0000731766,3000,24759,0,PIT_READY
0000753308,3015,23788,0,PIT_READY
0000773840,5004,26693,0,PIT_READY
0000789019,3010,28724,0,PIT_READY
0000821189,3001,20455,0,PIT_READY
0000831259,2469,25848,0,PIT_READY
0000886982,83889,37075,0,PIT_READY
0000909832,2711,21233,0,PIT_READY
0001018724,3000,26206,0,PIT_READY
0001045609,2947,22666,0,PIT_READY
0001045810,2461,24113,0,PIT_READY
0001053507,2584,29079,0,PIT_READY
0001065280,5011,21006,0,PIT_READY
0001108524,7014,26626,1,MISSING_ACCEPTANCE_LINKS
0001141391,2353,23771,0,PIT_READY
0001163165,3000,29683,0,PIT_READY
0001164727,3007,33255,0,PIT_READY
0001283699,3003,27423,0,PIT_READY
0001326160,3008,31466,0,PIT_READY
0001326801,4146,17730,0,PIT_READY
0001341439,2308,22862,0,PIT_READY
0001403161,1685,19959,0,PIT_READY
0001551152,1502,20251,0,PIT_READY
0001652044,2656,20324,0,PIT_READY
0001707925,749,13946,0,PIT_READY
0001730168,987,15076,0,PIT_READY
0001744489,1133,16022,0,PIT_READY
0002115436,26,5,0,PIT_READY
