ticker,cik,cik_link_status,collection_reason
AAPL,0000320193,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
ABBV,0001551152,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
AMT,0001053507,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
AMZN,0001018724,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
APD,0000002969,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
AVGO,0001730168,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
BA,0000012927,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
BAC,0000070858,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
CAT,0000018230,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
COP,0001163165,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
COST,0000909832,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
CRM,0001108524,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
CVX,0000093410,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
DIS,0001744489,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
DUK,0001326160,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
EOG,0000821189,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
FCX,0000831259,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
GE,0000040545,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
GOOGL,0001652044,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
GS,0000886982,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
HD,0000354950,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
HON,0000773840,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
JNJ,0000200406,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
JPM,0000019617,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
KO,0000021344,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
LIN,0001707925,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
LLY,0000059478,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
MA,0001141391,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
MCD,0000063908,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
META,0001326801,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
MRK,0000310158,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
MSFT,0000789019,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
NEE,0000753308,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
NEM,0001164727,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
NFLX,0001065280,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
NKE,0000320187,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
NVDA,0001045810,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
ORCL,0001341439,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
PEP,0000077476,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
PG,0000080424,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
PLD,0001045609,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
SHW,0000089800,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
SLB,0000087347,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
SO,0000092122,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
TMUS,0001283699,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
UNH,0000731766,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
UNP,0000100885,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
V,0001403161,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
WMT,0000104169,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
XOM,0002115436,UNIQUE_CIK_NAME_CANDIDATE,SUBMISSIONS_MISSING
