family,horizon_months,expected_sign,folds,directional_folds,monthly_ic_samples,non_overlapping_ic_samples,stock_month_observations,signed_median_fold_ic,raw_p_value,fold_ic_json,holm_p_value,horizon_pass
PRICE_EXTENSION,1,-1,5,2,55,55,2805,-0.0329419217714,0.606146905165,"{""F01"":-0.10719942089802417,""F02"":0.0786478722086947,""F03"":0.051541959980266554,""F04"":-0.054666817863147914,""F05"":0.0329419217713671}",1,False
PRICE_EXTENSION,3,-1,5,4,45,15,2295,0.0614068829616,0.5,"{""F01"":-0.24643649059123662,""F02"":0.09792519876847834,""F03"":-0.10140959817012937,""F04"":-0.022765847409290885,""F05"":-0.06140688296156428}",1,False
PRICE_EXTENSION,6,-1,5,3,30,5,1530,0.113555587227,0.5,"{""F01"":-0.3764705591441955,""F02"":-0.11355558722729284,""F03"":-0.3747412010337752,""F04"":0.17731767813640975,""F05"":0.15487476561234614}",1,False
TREND_MATURITY,1,1,5,2,55,55,2805,-0.0445741697907,0.911499317615,"{""F01"":-0.10964297038240294,""F02"":0.13349020331328462,""F03"":-0.04457416979067003,""F04"":-0.12493778011795892,""F05"":0.06511754206462123}",1,False
TREND_MATURITY,3,1,5,3,45,15,2295,0.0164268260244,0.84912109375,"{""F01"":-0.2536371252760264,""F02"":0.23311912040198626,""F03"":-0.1845255663770953,""F04"":0.016426826024378907,""F05"":0.01651695820263151}",1,False
TREND_MATURITY,6,1,5,2,30,5,1530,-0.0696900272392,0.8125,"{""F01"":-0.3443405609671246,""F02"":-0.06969002723915192,""F03"":-0.4124079179523927,""F04"":0.3018692797716323,""F05"":0.21594469659025442}",1,False
RELATIVE_OVERHEAT,1,-1,5,2,55,55,2805,-0.0283774616906,0.295026665888,"{""F01"":-0.1256025582228526,""F02"":0.028377461690619277,""F03"":-0.10575879865722414,""F04"":0.1411503837057035,""F05"":0.044214147124229664}",0.590053331777,False
RELATIVE_OVERHEAT,3,-1,5,3,45,15,2295,0.0574816713511,0.5,"{""F01"":-0.17091000354936628,""F02"":-0.057481671351062094,""F03"":-0.199655951232174,""F04"":0.15035416519615172,""F05"":0.11432325047778477}",0.590053331777,False
RELATIVE_OVERHEAT,6,-1,5,3,30,5,1530,0.032458862624,0.1875,"{""F01"":-0.2327301444802004,""F02"":-0.03245886262403381,""F03"":-0.12885272119561625,""F04"":0.3222469194402148,""F05"":0.16342896869811538}",0.5625,False
PARTICIPATION,1,1,5,0,55,55,2805,-0.0370261422264,0.970967926604,"{""F01"":-0.10052730876142545,""F02"":-0.020730549177980027,""F03"":-0.037026142226383216,""F04"":-0.01933351832775047,""F05"":-0.051869287691588314}",1,False
PARTICIPATION,3,1,5,2,45,15,2295,-0.0659196483605,0.982421875,"{""F01"":0.007334300249345168,""F02"":0.10732878533197403,""F03"":-0.06591964836049027,""F04"":-0.13969807317018262,""F05"":-0.124060835569497}",1,False
PARTICIPATION,6,1,5,2,30,5,1530,-0.0103013737248,0.5,"{""F01"":0.05607068686445214,""F02"":-0.010301373724849579,""F03"":-0.15554995679522254,""F04"":-0.23446329633750485,""F05"":0.0770843389377843}",1,False
MARKET_RISK,1,-1,5,4,55,55,2805,0.120847293313,0.00133363119143,"{""F01"":0.0015842122734264213,""F02"":-0.20151180117984077,""F03"":-0.2175251279631531,""F04"":-0.12084729331286281,""F05"":-0.08572657487354336}",0.00400089357429,True
MARKET_RISK,3,-1,5,5,45,15,2295,0.157184887482,0.017578125,"{""F01"":-0.12524329601631165,""F02"":-0.15718488748248924,""F03"":-0.19704478331950662,""F04"":-0.15804838797861587,""F05"":-0.15319515095335343}",0.03515625,True
MARKET_RISK,6,-1,5,4,30,5,1530,0.143652413726,0.1875,"{""F01"":0.20465656679551686,""F02"":-0.14365241372571863,""F03"":-0.1675114284343256,""F04"":-0.20309732980266615,""F05"":-0.11730630170490167}",0.1875,False
